scenario,month,mau,joins,quits,dau,goldFaucet,goldClaimed,goldOnchainSupply,goldBurnMonth,goldBurnedTotal,goldTreasury,dolEmissionMonth,dolUnlocked,dolCirculating,dolLocked,dolStaked,dolFloatFree,dolBurnMonth,dolBurnedTotal,dolTreasury,inflationMonthlyPct,marketCapUsd,liquidityUsd
bull,8,2282,465,116,799,97286240,13970405,45547070,36512,171264,5545892,6250000,183333333,183329721,816666667,73331888,109997832,770,3613,33336946,3.529,14666378,1173310
bull,9,2684,539,137,939,114332640,17315813,60462582,42944,214208,7946194,6250000,204375000,204370482,795625000,81748193,122622289,906,4518,37504518,3.155,16349639,1307971
bull,10,3148,625,161,1102,134179520,21211270,78560714,50368,264576,11059331,6250000,225416667,225411086,774583333,90164434,135246651,1062,5581,41672248,2.852,18032887,1442631
bull,11,3682,723,189,1289,156948640,25735849,100326530,58912,323488,15029364,6250000,246458333,246451510,753541667,98580604,147870906,1243,6824,45840157,2.602,19716121,1577290
bull,12,4297,836,221,1504,183127040,30982222,126315922,68752,392240,20022195,6250000,267500000,267491726,732500000,106996690,160495036,1450,8274,50008274,2.392,21399338,1711947
bull,13,5004,965,258,1751,213201760,37056207,157165610,80064,472304,26228714,4687500,290868056,290858093,709131944,116343237,174514856,1689,9963,54176629,1.638,23268647,1861492
bull,14,5817,1113,300,2036,247903360,44084445,193610106,93072,565376,33868663,4687500,314236111,314224185,685763889,125689674,188534511,1963,11926,58345259,1.514,25137935,2011035
bull,15,6750,1282,349,2363,287718880,52205593,236489611,108000,673376,43194751,4687500,337604167,337589963,662395833,135035985,202553978,2278,14204,62514204,1.408,27007197,2160576
bull,16,7820,1475,405,2737,333257120,61573977,286761083,125120,798496,54497256,4687500,360972222,360955379,639027778,144382152,216573227,2639,16843,66683510,1.316,28876430,2310114
bull,17,9046,1695,469,3166,385492160,72371250,345520135,144736,943232,68109454,4687500,384340278,384320381,615659722,153728153,230592229,3053,19896,70853230,1.235,30745631,2459650
bull,18,10448,1945,543,3657,445276320,84801419,414017328,167168,1110400,84413681,4687500,407708333,407606551,592291667,163042620,244563930,81886,101783,75039095,1.163,32608524,2608682
bull,19,12049,2228,627,4217,513461920,99090102,493673117,192784,1303184,103847993,4687500,431076389,430880172,568923611,172352069,258528103,94434,196217,79227901,1.1,34470414,2757633
bull,20,13874,2548,723,4856,591266560,115495984,586103276,221984,1525168,126913819,4687500,454444444,454139490,545555556,181655796,272483694,108737,304954,83420061,1.043,36331159,2906493
bull,21,15950,2908,832,5583,679786080,134305654,693138396,255200,1780368,154184354,4687500,477812500,477382538,522187500,190953015,286429523,125008,429962,87616036,0.992,38190603,3055248
bull,22,18305,3312,957,6407,780116320,155832676,816841777,292880,2073248,186313649,4687500,501180556,500607128,498819444,200242851,300364277,143465,573428,91816338,0.945,40048570,3203886
bull,23,20970,3763,1098,7339,893596640,180424808,959533568,335520,2408768,224046666,4687500,524548611,523810831,475451389,209524332,314286499,164352,737780,96021537,0.903,41904866,3352389
bull,24,23975,4263,1258,8391,1021688160,208466920,1123816870,383600,2792368,268230284,4687500,547916667,546990983,452083333,218796393,328194590,187904,925684,100232258,0.864,43759279,3500742
bull,25,27351,4815,1439,9573,1165608480,240371639,1312593824,437616,3229984,319824969,3515625,566987847,565847800,433012153,226339120,339508680,214363,1140047,104449182,0.625,45267824,3621426
bull,26,31129,5419,1641,10895,1326575200,276578424,1529080225,498064,3728048,379916992,3515625,586059028,584675007,413940972,233870003,350805004,243974,1384021,108673048,0.605,46774001,3741920
bull,27,35337,6076,1868,12368,1505927680,317556733,1776822680,565392,4293440,449731270,3515625,605130208,603469234,394869792,241387693,362081540,276954,1660975,112904647,0.586,48277539,3862203
bull,28,40001,6784,2120,14000,1704640000,363792842,2059702423,640016,4933456,530644368,3515625,624201389,622226906,375798611,248890763,373336144,313508,1974483,117144815,0.568,49778153,3982252
bull,29,45139,7538,2400,15799,1923686240,415789288,2381938548,722224,5655680,624197532,3515625,643272569,640944310,356727431,256377724,384566586,353777,2328260,121394425,0.552,51275545,4102044
bull,30,50764,8333,2708,17767,2163309920,474039976,2748067106,812224,6467904,732108950,3515625,662343750,659617628,337656250,263847051,395770577,397863,2726122,125654370,0.536,52769410,4221553
bull,31,56878,9160,3046,19907,2423876320,539034521,3162925268,910048,7377952,856285309,3515625,676414931,673243027,323585069,269297211,403945816,445781,3171904,129925550,0.525,53859442,4308755
bull,32,63471,10006,3413,22215,2704898400,611229983,3631608893,1015536,8393488,998831667,3515625,690486111,686816753,309513889,274726701,412090052,497454,3669358,134208845,0.515,54945340,4395627
bull,33,70522,10859,3808,24683,3005402080,691035720,4159417088,1128352,9521840,1162059192,3515625,704557292,700335218,295442708,280134087,420201131,552716,4222074,138505096,0.505,56026817,4482145
bull,34,77993,11702,4231,27298,3323804480,778794679,4751780938,1247888,10769728,1348490021,3515625,718628472,713795128,281371528,285518051,428277077,611270,4833344,142815075,0.495,57103610,4568289
bull,35,85830,12517,4680,30040,3657670400,874757203,5414169680,1373280,12143008,1560858482,3515625,732699653,727193616,267300347,290877446,436316170,672693,5506037,147139454,0.486,58175489,4654039
bull,36,93965,13285,5150,32888,4004442880,979080059,6151999433,1503440,13646448,1802108787,3515625,746770833,740528346,253229167,296211338,444317008,736451,6242487,151478781,0.477,59242268,4739381
bull,37,102316,13989,5638,35811,4360347360,1091788969,6970509281,1637056,15283504,2075387908,2636719,759963108,752918719,240036892,301167487,451751231,801902,7044389,155833454,0.351,60233497,4818680
bull,38,110790,14613,6139,38777,4721487520,1212778920,7874642254,1772640,17056144,2384033855,2636719,773155382,765242676,226844618,306097071,459145606,868317,7912706,160203697,0.346,61219414,4897553
bull,39,119286,15143,6647,41750,5083480000,1341802290,8868919297,1908576,18964720,2731559102,2636719,786347656,777500047,213652344,311000019,466500028,934904,8847610,164589552,0.34,62200004,4976000
bull,40,127700,15571,7157,44695,5442063200,1478477653,9957326365,2043200,21007920,3121629687,2636719,799539931,789691472,200460069,315876589,473814883,1000849,9848458,168990867,0.335,63175318,5054025
bull,41,135930,15892,7662,47576,5792853760,1622290190,11143206054,2174880,23182800,3558040188,2636719,812732205,801818395,187267795,320727358,481091037,1065351,10913810,173407305,0.33,64145472,5131638
bull,42,143881,16107,8156,50358,6131590080,1772600187,12429161411,2302096,25484896,4044685018,2636719,825924479,813883002,174075521,325553201,488329801,1127667,12041477,177838353,0.325,65110640,5208851
bull,43,151471,16223,8633,53015,6455106400,1928683727,13817002409,2423536,27908432,4585527747,2636719,839116753,825888122,160883247,330355249,495532873,1187154,13228631,182283348,0.32,66071050,5285684
bull,44,158631,16248,9088,55521,6760236960,2089735501,15307697143,2538096,30446528,5184568515,2636719,852309028,837837126,147690972,335134851,502702276,1243270,14471901,186741499,0.316,67026970,5362158
bull,45,165309,16196,9518,57858,7044790080,2254903987,16901358644,2644944,33091472,5845811001,2636719,865501302,849733791,134498698,339893517,509840275,1295609,15767511,191211921,0.311,67978703,5438296
bull,46,171471,16081,9919,60015,7307426400,2423321401,18597261007,2743536,35835008,6573230039,2636719,878693576,861582162,121306424,344632865,516949297,1343904,17111415,195693665,0.307,68926573,5514126
bull,47,177101,15918,10288,61985,7547293600,2594120474,20393871060,2833616,38668624,7370740460,2636719,891885851,873386407,108114149,349354563,524031844,1388029,18499444,200185755,0.303,69870913,5589673
bull,48,182196,15721,10626,63769,7764513440,2766466907,22288910157,2915136,41583760,8242168270,2636719,905078125,885150720,94921875,354060288,531090432,1427961,19927405,204687207,0.299,70812058,5664965
bull,49,186768,15504,10932,65369,7959329440,2939562324,24279416476,2988288,44572048,9191224276,1977539,907055664,885664465,92944336,354265786,531398679,1463794,21391199,205030393,0.224,70853157,5668253
bull,50,190839,15277,11206,66794,8132837440,3112671495,26361831248,3053424,47625472,10221480999,1977539,909033203,886146303,90966797,354458521,531687782,1495701,22886900,205381060,0.224,70891704,5671336
bull,51,194438,15049,11450,68053,8286133280,3285120221,28532079781,3111008,50736480,11336352687,1977539,911010742,886599935,88989258,354639974,531959961,1523908,24410808,205738340,0.224,70927995,5674240
bull,52,197600,14828,11666,69160,8420921600,3456313600,30785667029,3161600,53898080,12539079039,1977539,912988281,887028784,87011719,354811513,532217270,1548690,25959498,206101430,0.223,70962303,5676984
bull,53,200363,14619,11856,70127,8538663520,3625725264,33117759275,3205808,57103888,13832712058,1977539,914965820,887435978,85034180,354974391,532461587,1570345,27529843,206469597,0.223,70994878,5679590
bull,54,202765,14424,12022,70968,8641063680,3792903212,35523268403,3244240,60348128,15220106141,1977539,916943359,887824346,83056641,355129738,532694608,1589171,29119013,206842177,0.223,71025948,5682076
bull,55,204844,14245,12166,71695,8729583200,3957459211,37996922825,3277504,63625632,16703910931,1977539,918920898,888196420,81079102,355278568,532917852,1605465,30724478,207218578,0.223,71055714,5684457
bull,56,206637,14084,12291,72323,8806048480,4119078853,40533345423,3306192,66931824,18286567186,1977539,920898438,888554442,79101563,355421777,533132665,1619517,32343996,207598274,0.223,71084355,5686748
bull,57,208179,13940,12398,72863,8871798880,4277502854,43127110603,3330864,70262688,19970304860,1977539,922875977,888900378,77124023,355560151,533340227,1631603,33975599,207980803,0.223,71112030,5688962
bull,58,209501,13813,12491,73325,8928052000,4432521159,45772793555,3352016,73614704,21757143067,1977539,924853516,889235953,75146484,355694381,533541572,1641964,35617563,208365761,0.223,71138876,5691110
bull,59,210632,13701,12570,73721,8976268960,4583979419,48465023876,3370112,76984816,23648892166,1977539,926831055,889562664,73168945,355825065,533737598,1650828,37268391,208752797,0.223,71165013,5693201
bull,60,211597,13603,12638,74059,9017423840,4731760900,51198519795,3385552,80370368,25647157147,1977539,928808594,889881811,71191406,355952725,533929087,1658391,38926782,209141606,0.223,71190545,5695244
bull,61,212419,13518,12696,74347,9052490720,4875785227,53968119880,3398704,83769072,27753342289,1483154,930291748,889700132,69708252,355880053,533820079,1664834,40591616,209531926,0.167,71176011,5694081
bull,62,213119,13445,12745,74592,9082321920,5016003117,56768808480,3409904,87178976,29968656805,1483154,931774902,889512966,68225098,355805186,533707779,1670320,42261937,209923533,0.167,71161037,5692883
bull,63,213714,13382,12787,74800,9107648000,5152391280,59595735345,3419424,90598400,32294121220,1483154,933258057,889321137,66741943,355728455,533592682,1674983,43936920,210316232,0.167,71145691,5691655
bull,64,214218,13327,12823,74976,9129077760,5284947496,62444229747,3427488,94025888,34730574315,1483154,934741211,889125357,65258789,355650143,533475214,1678934,45615854,210709858,0.167,71130029,5690402
bull,65,214646,13281,12853,75126,9147341760,5413693971,65309817242,3434336,97460224,37278680790,1483154,936224365,888926224,63775635,355570489,533355734,1682288,47298142,211104270,0.167,71114098,5689128
bull,66,215008,13241,12879,75253,9162805280,5538664348,68188223403,3440128,100900352,39938938978,1483154,937707520,888724253,62292480,355489701,533234552,1685125,48983267,211499347,0.167,71097940,5687835
bull,67,215315,13207,12900,75360,9175833600,5659903323,71075376934,3445040,104345392,42711688770,1483154,939190674,888519876,60809326,355407950,533111925,1687531,50670798,211894988,0.167,71081590,5686527
bull,68,215574,13178,12919,75451,9186913760,5777470338,73967416315,3449184,107794576,45597119727,1483154,940673828,888313469,59326172,355325388,532988081,1689561,52360359,212291105,0.167,71065078,5685206
bull,69,215794,13154,12934,75528,9196289280,5891430969,76860687807,3452704,111247280,48595279204,1483154,942156982,888105338,57843018,355242135,532863203,1691285,54051645,212687627,0.167,71048427,5683874
bull,70,215979,13133,12948,75593,9204203680,6001856726,79751743450,3455664,114702944,51706080288,1483154,943640137,887895756,56359863,355158303,532737454,1692735,55744380,213084488,0.167,71031661,5682533
bull,71,216136,13116,12959,75648,9210900480,6108824851,82637338814,3458176,118161120,54929309775,1483154,945123291,887684945,54876709,355073978,532610967,1693966,57438346,213481638,0.167,71014796,5681184
bull,72,216269,13101,12968,75694,9216501440,6212414071,85514426848,3460304,121621424,58264635813,1483154,946606445,887473091,53393555,354989236,532483855,1695008,59133354,213879032,0.167,70997847,5679828
bull,73,216381,13088,12976,75733,9221250080,6312708605,88380155777,3462096,125083520,61711615488,1112366,947718811,886889571,52281189,354755828,532133742,1695886,60829241,214276633,0.126,70951166,5676093
bull,74,216475,13077,12983,75766,9225268160,6409793923,91231862986,3463600,128547120,65269702202,1112366,948831177,886305313,51168823,354522125,531783188,1696623,62525863,214674405,0.126,70904425,5672354
bull,75,216554,13068,12989,75794,9228677440,6503756707,94067069091,3464864,132011984,68938252804,1112366,949943542,885720437,50056458,354288175,531432262,1697242,64223105,215072323,0.126,70857635,5668611
bull,76,216622,13061,12993,75818,9231599680,6594684806,96883472174,3465952,135477936,72716534527,1112366,951055908,885135028,48944092,354054011,531081017,1697775,65920880,215470366,0.126,70810802,5664864
bull,77,216679,13054,12997,75838,9234034880,6682663142,99678938377,3466864,138944800,76603731466,1112366,952168274,884549172,47831726,353819669,530729503,1698222,67619102,215868514,0.126,70763934,5661115
bull,78,216727,13049,13001,75854,9235983040,6767773805,102451492844,3467632,142412432,80598950805,1112366,953280640,883962940,46719360,353585176,530377764,1698598,69317700,216266750,0.126,70717035,5657363
bull,79,216767,13044,13004,75868,9237687680,6850104268,105199318948,3468272,145880704,84701228968,1112366,954393005,883376394,45606995,353350558,530025837,1698911,71016611,216665059,0.126,70670112,5653609
bull,80,216801,13040,13006,75880,9239148800,6929739085,107920749541,3468816,149349520,88909537461,1112366,955505371,882789582,44494629,353115833,529673749,1699178,72715789,217063431,0.126,70623167,5649853
bull,81,216830,13037,13008,75891,9240488160,7006764055,110614262556,3469280,152818800,93222788500,1112366,956617737,882202543,43382263,352881017,529321526,1699405,74415194,217461856,0.126,70576203,5646096
bull,82,216854,13034,13010,75899,9241462240,7081253994,113278465015,3469664,156288464,97639840035,1112366,957730103,881615315,42269897,352646126,528969189,1699593,76114787,217860325,0.126,70529225,5642338
bull,83,216875,13032,13011,75906,9242314560,7153289346,115912093573,3470000,159758464,102159500824,1112366,958842468,881027923,41157532,352411169,528616754,1699758,77814545,218258833,0.126,70482234,5638579
bull,84,216892,13030,13013,75912,9243045120,7222947872,118514007119,3470272,163228736,106780535150,1112366,959954834,880440398,40045166,352176159,528264239,1699891,79514436,218657372,0.127,70435232,5634819
bull,85,216906,13028,13014,75917,9243653920,7290304740,121083179669,3470496,166699232,111501667341,834274,960789108,879574671,39210892,351829869,527744803,1700001,81214437,219055937,0.095,70365974,5629278
bull,86,216919,13027,13014,75922,9244262720,7355436673,123618697525,3470704,170169936,116321586157,834274,961623383,878708843,38376617,351483537,527225306,1700103,82914540,219454526,0.095,70296707,5623737
bull,87,216930,13026,13015,75926,9244749760,7418413776,126119748747,3470880,173640816,121238948711,834274,962457657,877842928,37542343,351137171,526705757,1700189,84614728,219853134,0.095,70227434,5618195
bull,88,216939,13025,13016,75929,9245115040,7479303818,128585617070,3471024,177111840,126252384206,834274,963291931,876976943,36708069,350790777,526186166,1700259,86314988,220251760,0.095,70158155,5612652
bull,89,216947,13024,13016,75931,9245358560,7538172309,131015676126,3471152,180582992,131360497460,834274,964126205,876110895,35873795,350444358,525666537,1700322,88015310,220650400,0.095,70088872,5607110
bull,90,216953,13023,13017,75934,9245723840,7595090694,133409391816,3471248,184054240,136561872464,834274,964960480,875244801,35039520,350097920,525146880,1700369,89715679,221049051,0.095,70019584,5601567
bull,91,216958,13022,13017,75935,9245845600,7650115857,135766304807,3471328,187525568,141855075330,834274,965794754,874378667,34205246,349751467,524627200,1700408,91416087,221447711,0.096,69950293,5596023
bull,92,216963,13022,13017,75937,9246089120,7703314966,138086037624,3471408,190996976,147238657479,834274,966629028,873512493,33370972,349404997,524107496,1700448,93116535,221846381,0.096,69880999,5590480
bull,93,216966,13021,13018,75938,9246210880,7754744830,140368281656,3471456,194468432,152711158277,834274,967463303,872646297,32536697,349058519,523587778,1700471,94817006,222245056,0.096,69811704,5584936
bull,94,216969,13021,13018,75939,9246332640,7804464424,142612796597,3471504,197939936,158271107759,834274,968297577,871780076,31702423,348712031,523068046,1700495,96517501,222643737,0.096,69742406,5579392
bull,95,216972,13021,13018,75940,9246454400,7852530756,144819406026,3471552,201411488,163917029087,834274,969131851,870913833,30868149,348365533,522548300,1700518,98218019,223042423,0.096,69673107,5573849
bull,96,216975,13021,13018,75941,9246576160,7898998936,146987993176,3471600,204883088,169647440873,834274,969966125,870047565,30033875,348019026,522028539,1700542,99918560,223441114,0.096,69603805,5568304
bull,97,216976,13020,13019,75942,9246697920,7943922236,149118496968,3471616,208354704,175460859317,625706,970591831,868972722,29408169,347589089,521383633,1700549,101619110,223839808,0.072,69517818,5561425
bull,98,216977,13020,13019,75942,9246697920,7987348092,151210904238,3471632,211826336,181355800139,625706,971217537,867897870,28782463,347159148,520738722,1700557,103319667,224238503,0.072,69431830,5554546
bull,99,216978,13020,13019,75942,9246697920,8029326419,153265250360,3471648,215297984,187330780436,625706,971843243,866823011,28156757,346729204,520093806,1700565,105020232,224637200,0.072,69345841,5547667
bull,100,216979,13020,13019,75943,9246819680,8069909528,155281619728,3471664,218769648,193384320596,625706,972468948,865748144,27531052,346299257,519448886,1700573,106720805,225035899,0.072,69259851,5540788
bull,101,216980,13020,13019,75943,9246819680,8109139867,157260134430,3471680,222241328,199514945761,625706,973094654,864673269,26905346,345869307,518803961,1700581,108421386,225434600,0.072,69173861,5533909
bull,102,216981,13020,13019,75943,9246819680,8147062527,159200955375,3471696,225713024,205721187343,625706,973720360,863598386,26279640,345439354,518159031,1700589,110121974,225833302,0.073,69087871,5527030
bull,103,216982,13020,13019,75944,9246941440,8183725157,161104283300,3471712,229184736,212001584575,625706,974346066,862523495,25653934,345009398,517514097,1700596,111822571,226232007,0.073,69001880,5520150
bull,104,216983,13020,13019,75944,9246941440,8219165700,162970347935,3471728,232656464,218354685640,625706,974971771,861448596,25028229,344579439,516869158,1700604,113523175,226630713,0.073,68915888,5513271
bull,105,216984,13020,13019,75944,9246941440,8253424891,164799409601,3471744,236128208,224779048865,625706,975597477,860373690,24402523,344149476,516224214,1700612,115223787,227029421,0.073,68829895,5506392
bull,106,216984,13019,13019,75944,9246941440,8286542110,166591756778,3471744,239599952,231273243798,625706,976223183,859298784,23776817,343719513,515579270,1700612,116924399,227428129,0.073,68743903,5499512
bull,107,216984,13019,13019,75944,9246941440,8318555421,168347703747,3471744,243071696,237835852250,625706,976848888,858223877,23151112,343289551,514934326,1700612,118625011,227826837,0.073,68657910,5492633
bull,108,216984,13019,13019,75944,9246941440,8349501621,170067588423,3471744,246543440,244465469195,625706,977474594,857148971,22525406,342859588,514289383,1700612,120325623,228225545,0.073,68571918,5485753
bull,109,216984,13019,13019,75944,9246941440,8379416282,171751770285,3471744,250015184,251160703616,469279,977943873,855917638,22056127,342367055,513550583,1700612,122026235,228624253,0.055,68473411,5477873
bull,110,216984,13019,13019,75944,9246941440,8408333787,173400628426,3471744,253486928,257920179262,469279,978413153,854686305,21586847,341874522,512811783,1700612,123726847,229022961,0.055,68374904,5469992
bull,111,216984,13019,13019,75944,9246941440,8436287376,175014559715,3471744,256958672,264742535349,469279,978882432,853454972,21117568,341381989,512072983,1700612,125427459,229421669,0.055,68276398,5462112
bull,112,216984,13019,13019,75944,9246941440,8463309178,176593977065,3471744,260430416,271626427176,469279,979351711,852223640,20648289,340889456,511334184,1700612,127128072,229820378,0.055,68177891,5454231
bull,113,216984,13019,13019,75944,9246941440,8489430253,178139307800,3471744,263902160,278570526695,469279,979820991,850992307,20179009,340396923,510595384,1700612,128828684,230219086,0.055,68079385,5446351
bull,114,216984,13019,13019,75944,9246941440,8514680626,179650992116,3471744,267373904,285573523005,469279,980290270,849760974,19709730,339904390,509856584,1700612,130529296,230617794,0.055,67980878,5438470
bull,115,216984,13019,13019,75944,9246941440,8539089320,181129481638,3471744,270845648,292634122803,469279,980759549,848529641,19240451,339411857,509117785,1700612,132229908,231016502,0.055,67882371,5430590
bull,116,216984,13019,13019,75944,9246941440,8562684391,182575238059,3471744,274317392,299751050773,469279,981228828,847298308,18771172,338919323,508378985,1700612,133930520,231415210,0.055,67783865,5422709
bull,117,216984,13019,13019,75944,9246941440,8585492959,183988731861,3471744,277789136,306923049930,469279,981698108,846066976,18301892,338426790,507640185,1700612,135631132,231813918,0.055,67685358,5414829
bull,118,216984,13019,13019,75944,9246941440,8607541242,185370441117,3471744,281260880,314148881915,469279,982167387,844835643,17832613,337934257,506901386,1700612,137331744,232212626,0.056,67586851,5406948
bull,119,216984,13019,13019,75944,9246941440,8628854582,186720850366,3471744,284732624,321427327248,469279,982636666,843604310,17363334,337441724,506162586,1700612,139032356,232611334,0.056,67488345,5399068
bull,120,216984,13019,13019,75944,9246941440,8649457477,188040449555,3471744,288204368,328757185536,469279,983105946,842372977,16894054,336949191,505423786,1700612,140732968,233010042,0.056,67389838,5391187
